experiments,	30
steps,	200
agents,	10
name, minimum, maximum, median, average, standard deviation
burma14, 3320.0, 3340.0, 3320.0, 3330.0, 5.85
br17, 39.0, 41.0, 39.0, 39.2, 0.504
gr17, 2080.0, 2100.0, 2080.0, 2090.0, 5.81
gr21, 2710.0, 2970.0, 2800.0, 2770.0, 69.9
gr24, 1270.0, 1480.0, 1350.0, 1350.0, 43.2
fri26, 955.0, 1080.0, 989.0, 994.0, 33.9
bayg29, 1630.0, 1840.0, 1710.0, 1720.0, 50.5
bays29, 2090.0, 2330.0, 2170.0, 2180.0, 68.7
ftv33, 1430.0, 1670.0, 1560.0, 1560.0, 57.1
ftv35, 1610.0, 1920.0, 1760.0, 1750.0, 73.9
ftv38, 1620.0, 1940.0, 1850.0, 1850.0, 72.6
dantzig42, 771.0, 906.0, 838.0, 838.0, 36.9
swiss42, 1390.0, 1640.0, 1510.0, 1510.0, 59.8
p43, 5650.0, 5710.0, 5680.0, 5680.0, 14.3
ftv44, 1890.0, 2250.0, 2020.0, 2040.0, 91.7
ftv47, 2120.0, 2470.0, 2300.0, 2300.0, 78.7
att48, 11300.0, 14200.0, 12500.0, 12600.0, 796.0
gr48, 5600.0, 6770.0, 6070.0, 6050.0, 242.0
hk48, 12400.0, 14500.0, 13400.0, 13400.0, 539.0
ry48p, 15400.0, 18900.0, 17200.0, 17300.0, 753.0
berlin52, 8450.0, 10000.0, 9060.0, 9080.0, 353.0
ft53, 8350.0, 10200.0, 9130.0, 9180.0, 400.0
ftv55, 2020.0, 2460.0, 2240.0, 2240.0, 115.0
brazil58, 29400.0, 35000.0, 31600.0, 31800.0, 1250.0
ftv64, 2480.0, 2920.0, 2680.0, 2680.0, 124.0
ft70, 41900.0, 44300.0, 43200.0, 43200.0, 521.0
ftv70, 2630.0, 3140.0, 2900.0, 2900.0, 113.0
st70, 853.0, 995.0, 917.0, 921.0, 42.2
eil76, 634.0, 728.0, 679.0, 681.0, 22.1
pr76, 133000.0, 155000.0, 146000.0, 145000.0, 6310.0
gr96, 72200.0, 91100.0, 82000.0, 81600.0, 4730.0
rat99, 1480.0, 1860.0, 1750.0, 1740.0, 83.2
kroA100, 31500.0, 38100.0, 34600.0, 34600.0, 1840.0
kroB100, 31000.0, 37100.0, 34800.0, 34600.0, 1580.0
kroC100, 30900.0, 37700.0, 34300.0, 34400.0, 1840.0
kroD100, 29700.0, 38600.0, 33800.0, 34200.0, 2210.0
kroE100, 32500.0, 40800.0, 35100.0, 35400.0, 2000.0
rd100, 11000.0, 12900.0, 12200.0, 12200.0, 461.0
